"ID","researcher","year","title","journal","article_type","article_type_other","continents","countries","municipalities","gen_type","urban_type","gradient_study","agriculture_type","ag_type_other","production_type","production_type_other","conservation","question","result_1","result_2","ipm"
59,"SKH",2005,"size and trends of the house sparrow passer domesticus population in great britain","Ibis","research","","europe","England; Scotland; Wales","several","bird","suburb;urban","not gradient study","residential garden","","unknown","","cons_effects;distribution","What is the current population size of HOSP in Britain and what are the long-term changes in populations size in country and urban environments?","National pop is aobut 13 million individuals; densities are greatest in suburban and rural garden habitats. Populations in rural areas have declined by 47% since 1970s, and those in urban areas have declined by 60%.","In urban areas, there was likely a decline due to loss of horse-drawn transport and generally cleaner streets.",0
60,"SKH",2005,"trends in the use of private gardens by wild birds in great britain 1995-2002","Journal of Applied Ecology","research","","europe","England; Northern Ireland; Scotland; Wales","several","bird","urban","not gradient study","residential garden","","food;ornamental","","distribution;information;t_e","birds populations in 18,300 residential gardens: are they changing over an 8 year period?","Use of gardens is seasonal and cyclic, with variability btwn species. 18 spp are declining, 3 are red-listed and of concern.","Garden pop rates alligned with national trends mostly, but some species exhibited important differences.",0
61,"SKH",2006,"time-activity budgets and behaviour of the amazilia hummingbird, amazilia amazilia (apodiformes trochilidae) in an urban environment","Revista De Biologia Tropical","research","","south america","Peru","Lima","bird; plant","urban","not gradient study","botanical garden","","ornamental","","information","What time does Amazilia hummingbird allocate to its different activities, the frequency of its visits to different species of flowers and the characteristics of the perches, to provide info about urban environments specifically","Most time spent resting on perches (~80%). Flower use is not directly related to flower abundance.","Perches selected are typically trees, close to the flowers and in a low vertical and middle horizontal position, surrounded by low foliage density - possibly to minimize heat loss.",0
62,"SKH",2006,"factors influencing the small-scale distribution of house sparrows passer domesticus in a suburban environment","Bird Study","research","","europe","England","Oxford","bird","urban","not gradient study","residential garden","","unknown","","information","To identify the factors that influence House Sparrow distribution among suburban gardens.","Suburban House Sparrows prefer gardens with native bushes but show no detectable response to garden insecticide use or house age.","There is no evidence that green space, distance from the city edge or density of corvids affect sparrow numbers at a larger spatial scale",0
63,"SKH",2006,"avian species richness and numbers in the built environment can new housing developments be good for birds?","Biodiversity and Conservation","research","","europe","England","Harwich","bird","urban","not gradient study","residential garden","","unknown","","cons_effects;distribution;information","Compared bird species richness and abundance in breeding season in housing developments vs. village sites, urban green corridors and adjacent farmland in a small town.","Both were independent of age of development and area of gardens within plots, but positively correlated with amount of greenspace.","Abundance declind with housing density.",0
64,"SKH",2006,"does variation in garden characteristics influence the conservation of birds in suburbia?","Biological Conservation","research","","australia","Australia","Hobart","bird; plant","urban","not gradient study","residential garden","","unknown","","cons_effects;distribution;information","Can enhancement of garden habitat for native birds have conservation benefits, or are garden bird assemblages determined by landscape and environmental characteristics? In 214 back or front gardens in 10 suburbs of Hobart, Tasmania,","Variation in garden characteristics does substantially affect the nature of garden bird assemblages in Hobart, with weaker environmental and landscape influences.","Although native birds showed a preference for native plants, they also utilized many exotic plants. Exotic birds largely utilized exotic plants.",0
65,"SKH",2006,"urban influence on birds at a regional scale a case study with the avifauna of northern madrid province","Landscape and Urban Planning","research","","europe","Spain","Madrid","bird; plant","urban","gradient study","residential garden","","unknown","","cons_effects;distribution;information","What is bird distribution and abundance in urban vs several rural habitats and within different urban typologies?","Within city, differences in abundance btw. urban and natural habs was mitigated in many spp when including the older gardened developments (vs medium or downtown typologies). High SR associated with more medium to big trees, and small trees.","Bird communities in urban environments were globally less diverse and had higher densities than any natural habitat of the study region.",0
66,"SKH",2006,"species interactions and habitat associations of birds inhabiting urban areas of sydney, australia","Austral Ecology","research","","australia","Australia","Sydney","bird","urban","not gradient study","residential garden","","unknown","","cons_effects;distribution;information","Are small birds in urban areas influenced by garden characteristics, interspecific aggression , or human behavior that encourages predators?","4 small bird spp associated with at least 1 hab variable, notably proportion of native vegetation. More birds overall when seed was provided. Presence of dogs and cats not related to the total abundance of birds overall or small birds in gardens.","More important was interspecific aggression from noisy minors which negatively influenced the small birds. Fewer small birds when meat was provided.",0
67,"SKH",2007,"determinants of bird species richness in public green spaces","Bird Study","research","","europe","England","London","bird","urban","not gradient study","residential garden","","unknown","","cons_effects;distribution;information","To determine those features of parks and other public green spaces that are of most importance in promoting bird species richness and to use this information to make recommendations for management of these areas","In summer and winter species richness increased with an increase in site area, and an increase in the proportion of boundary adjacent to gardens and significant interaction between adjacent gardens and area","species richness increased with increasing proportion of adjacent private gardens, but only in the smallest sites (<1 ha).",0
68,"SKH",2007,"house sparrow (passer domesticus) habitat use in urbanized landscapes","Journal of Ornithology","research","","europe","England; Scotland; Wales; Northern Ireland","several","bird","urban","not gradient study","community garden/farm;residential garden","","food;ornamental","","cons_effects;distribution;information;t_e","An investigation of the habitat associations of house sparrows using a survey of 1223 stratified randomly selected 500 · 500-m squares within urbanized landscapes of the UK","Multi-model inference showed that residential areas (houses, flats), allotments (areas used for small-scale horticulture) and farm buildings were key predictors of house sparrow density and chirping male density","Within residential areas, the increase of house sparrow density with habitat area (on a log scale) was approximately threefold greater when private gardens were present than when they were absent",0
69,"SKH",2008,"garden bird feeding predicts the structure of urban avian assemblages","Diversity and Distributions","research","","europe","England","Sheffield","bird","urban","not gradient study","residential garden","","unknown","","distribution;information","What are the relationships between levels of garden bird feeding and local avian populations ? Avian species richness and abundance vary across different socioeconomic neighbourhood types; was this driven by bird feeding?","The density of feeding stations strongly positively related to avian abundance, conrolling for habitat availability. The density of feeding stations and the proportion of feeder households had no effect on avian species richness. Mostly a few feeders spp.","The prevalence of bird feeding across different neighbourhoods declined as socioeconomic deprivation increased, and increased with avian species richness and abundance.",0
70,"SKH",2008,"diversity of native and exotic birds across an urban gradient in a new zealand city","Landscape and Urban Planning","research","","australia","New Zealand","Dunedin","bird; plant","urban","not gradient study","residential garden","","ornamental","","distribution;information","Examine rolls that garden size and complexity, native fragments, and veg composition and cover play in explaining variations in native and exotic avian diversity. R1: larger gardens had more exotic SR and #, and more of a few native bird spp","Nearly half (44%) of 39 species recorded were exotic: four (three exotic and one native) comprised 45% of birds counted. Similarity measures Idd three groups: 1) commercial/residential w/ simple structured gardens - 3-4 exotics and <10% few bush native de","2) suburbs with medium to larger gardens - many expotics but also 24% avian bush natives; and 3)  bush fragments - diversity and SR of natives highest ( 50-75% detections).",0
71,"SKH",2009,"urbanization and time of arrival of common birds at garden feeding stations","Bird Study","research","","europe","England; Scotland; Wales","several","bird","exurban;suburb;urban","gradient study","residential garden","","unknown","","information","Do birds appear at feeding stations earlier in the morning in urban areas than in rural areas during the winter?","No, they do not. Birds appeared at garden feedign stations later in the morning in urban areas than in rural areas during winter; thus providing no support for the idea that artificial light relates to nocturnal activity.","9 of the 10 most common spp TRS postitive related urbanization, exception is EUCD which (-). Perhaps provides support for the urban heat island effect hypothesis in which energetic demands of small birds may be reduced & delay time first seen at feeders",0
72,"SKH",2009,"does the presence of grevilleas and eucalypts in urban gardens influence the distribution and foraging ecology of noisy miners?","Emu","research","","australia","Australia","Sydney","bird; plant","urban","not gradient study","residential garden","","unknown","","cons_effects;information","Are noisy miners more abundant, forage more, eat a greater diversity of items, in gardens containing hybrid grevilleas?","No assoication between miners and hybrid grevilleas, but there was between miners and eucalypts","",0
73,"SKH",2009,"seasonal patterns of habitat selection of the house sparrow passer domesticus in the urban landscape of valencia (spain)","Journal of Ornithology","research","","europe","Spain","Valencia","bird","urban","not gradient study","residential garden","","unknown","","distribution;information","What are te seasonal patterns of habitat selection of the House sparrow in an urban landscape?","Second highest densities were in residential gardens (winter and breeding; 2nd to parks). HOSP had a positive selection for private gardens, with a ratio of 2.89 to 1 of selection vs. available; 2nd highest ratio to parks.","Residential gardens can play a leading role in HOSP conservation.",0
74,"SKH",2010,"survival probabilities of first and second clutches of blackbird (turdus merula) in an urban environment","Archives of Biological Sciences","research","","europe","Hungary","Pécs","bird; plant","urban","not gradient study","botanical garden","","ornamental","","information","Our aim has been to analyze, with the help of artificial nests placed throughout the Botanical Garden, the survival probabilities of nests in the first and second blackbird clutches. Also, does nest location influence predation?","44% success in 2018, 30% in 2019. Survival greater later in the season.","No effect of nest height.",0
75,"SKH",2010,"habitat associations and breeding bird community composition within the city of bristol, uk","Bird Study","research","","europe","England","Bristol","bird","exurban;peri-urban;suburb","gradient study","residential garden","","unknown","","distribution;information","To investigate the association between breeding bird communities and habitats within Bristol, UK and how these communities vary in terms of species diversity and total bird abundance.","A specific community composition was identified for suburban areas which was associated with buildings and residential gardens. Residential gardens support fewer species, but at high densities.","Residential gardens explained the most variance in breeding bird density (11%) compared to roads/tracks, marsh, inland water, roadside, or broadleaf woodland (only 3.6% on the latter).",0
76,"SKH",2010,"the role of the eurasian sparrowhawk (accipiter nisus) in the decline of the house sparrow (passer domesticus) in britain","Auk","research","","europe","England; Northern Ireland; Scotland; Wales","several","bird","urban","not gradient study","residential garden","","unknown","","distribution;information","Is the rist of Eurasion sparrowhawk associated with the decline of House Sparrows at British garden feedign stations?","Time relative to colonisation date indicated that HOSP were genearlly stable or increasing prior to recolonization of the Eurasian Sparrowhawks but declined afterward. Found similar patterns with other measures of time.","The researchers argue that urban HOSP pops long-term release from predator pressure made them vulnerable when urban habs were colonized by the sparrowhawk.",0
77,"SKH",2010,"do domestic cats impose an unsustainable harvest on urban bird populations?","Biological Conservation","research","","australia","New Zealand","Dunedin","bird","urban","not gradient study","residential garden","","ornamental","","information;manage_effects","Differences in cats and cat predation between 3 types of residential gardens (not main question, but I extracted): 1) large mature gardens, multi-layered; 2) same size but structurally simpler; 3) ver small, mostly lawn and flowerbeds","There were overwhelmingly more cats in residential type 2: R2 (6342 cats that hunt) > R3 (2067)  > R1 (1266). More silvereyes, fantail, bellbird, blackbird, housesparrow, and song thrush, mice and shiprats brought back by cats in R2 than other R1/R3","There was no difference between the three residential garden types in the frequency with which owners reported their cats brought back prey (v2 = 8.66, df = 4, p = 0.07). Ummm, Actual numbers surely show a difference. Blinded by p-values!",0
78,"SKH",2011,"bird feeders may sustain feral rose-ringed parakeets psittacula krameri in temperate europe","Wildlife Biology","research","","europe","France","Paris","bird; plant","urban","not gradient study","residential garden","","unknown","","distribution;information;manage_effects","Do bird feeders sustain feral Rose-ringed parakeets in Paris","In short, yes, they do. 21% of feeding events and 47.8% of birds were at feeders. The birds (radio-tracked) spent about 50% of their foraging time at bird feeders vs. native and introduced plant seeds, buds and fruits.","Human bird feeding possibly helped establish this feral population.",0
79,"SKH",2011,"gardens and birdwatching recreation, environmental management and human-nature interaction in an everyday location","Area","research","","europe","England","North Lancashire, South Cumbria","bird","urban","not gradient study","residential garden","","unknown","","information","Semi-structured interviews were held with birdwatchers as part of a larger study of the interactions between local places (private gardens) and birdwatching","55% respondents had manipulated their gardens for birds: many had made considerable and wide-ranging efforts to do so and were able to identify and explain such actions","almost all participants reported that they provided food for birds (water, nest boxes, nesting material). Yet, an interest in birds is not likely to be a good predictor of an interest in ‘gardening for birds’.",0
80,"SKH",2011,"the conservation value of residential yards linking birds and people","Ecological Applications","research","","north america","USA","Phoenix","bird; plant","urban","not gradient study","residential garden","","ornamental","","information","1) What are the strengths of the env and socio-eco associations with an urban bird community in res yards? 2) What variance in bird community explained by landscape plantings, urbanization gradient, and socioeconomic factors?","Invasive and generalist spp + assoc with neighborhoods with no or little veg. Native bird richness increased with Number of desert trees per neighborhood and number of shrubs per neighborhood.","Native bird species abundance increased in neighborhoods with desert landscaping, closer to large desert tracts, and higher income neighborhoods.",0
81,"SKH",2012,"supplementary feeding of wild birds indirectly affects the local abundance of arthropod prey","Basic and Applied Ecology","research","","europe","England","Berkshire","bird; invertebrate","urban","not gradient study","residential garden","","food","","information","Does bird feeding affect the population size and survival of palatable (to birds) arthropods on nearby plants?","Aphid numbers increased in gardens where birds were fed, then dropped off in final session, while in gardens where birds were not fed they decreased over the course of the study.","In feeding gardens, caged colonies had significantly higher aphid numbers and survival than exposed colonies, but in non-feeding gardens there was no difference. Suggesting that supplementary feeding may indirectly influence pop size and survivorship prey",1
82,"SKH",2012,"new zealand garden bird survey - analysis of the first four years","New Zealand Journal of Ecology","research","","australia","New Zealand","several","bird","peri-urban;suburb;urban","gradient study","residential garden","","unknown","","information","What are the long term trends in garden birds?","Most numerous spp were house sparrows and silvereye. More species and more individuals of most species in rural vs. urban gardens, some differences depending on feeding.","",0
83,"SKH",2012,"urbanization drives a reduction in functional diversity in a guild of nectar-feeding birds","Ecology and Society","research","","africa","South Africa","Cape Town","bird; plant","urban","not gradient study","residential garden","","unknown","","information","How does the distance to nearest natural habitat affect avian pollinators in urban gardens? (distance used as proxy for urbanization)","Reporting rate of four species of avian pollinators decreased as the distance from natural vegetation increased. Some species appeared more sensitive than others.","Guild diversity was reduced from 4 to 1 along this distance gradient.",0
84,"SKH",2012,"do heterospecific size and demeanour influence visitation behaviour of birds at urban foraging patches?","Journal of Ethology","research","","australia","New Zealand","Hamilton","bird","urban","not gradient study","residential garden","","unknown","","none","What is the relative importance of body size and demeanour as cues for threat recognition? How much do Australian magpie, common myna, rock dove, ringneck dove influence visitation behavriour of NZ birds at suburban feedign stations?","Demonstration of a 2-step process in which size and familiarity are important cues for recognizing potential threats.","",0
85,"SKH",2013,"garden size, householder knowledge, and socio-economic status influence plant and bird diversity at the scale of individual gardens","Ecosystems","research","","antarctica","New Zealand","Dunedin","bird; plant","urban","not gradient study","residential garden","","unknown","","cons_effects","What are the socio-economic, garden attributes, neighborhood characteristics, and environmental attitude and knowledge effects on vegetation diversity and bird diversity?","The amount of vegetated area (independent of property size) had the larest + effect on bird species richness, followed by % bed area, bed area, housing age, hedge area and capital value all had positive effects on Bird species richness.","Pro-environmental attitudes did not necessarily have greater plant diversity, though these gardens tended to be more structurally complex.",0
86,"SKH",2014,"having our yards and sharing them too the collective effects of yards on native bird species in an urban landscape","Ecological Applications","research","","north america","USA","Chicago","bird; plant","urban","not gradient study","residential garden","","unknown","","information","What is the relative importance of bottom-up yard versus top-down neighborhood characteristics on native bird communities in residential neighborhoods of Chicago?","Groups of neighboring yards in aggregate were more important for native bird richness than environmental characteristics at the neighborhood or landscape scale. The ratio of evergreen to deciduous trees in yards and the percentage of yards with trees and","plants with food and berries  were + associated with native bird SR, outdoor cats had a - association. Migratory birds were observed more when wildlife-friendly features were in yards, nonnatives more often when more  cats and dogs",0
87,"SKH",2014,"risks and drivers of wild bird feeding in urban areas of new zealand","Biological Conservation","research","","australia","New Zealand","several","bird","suburb;urban","not gradient study","residential garden","","unknown","","information","What is the scale of bird feeding practices, are there socio-demographic drivers, what are motivations and risk factors?","47% of households fed birds, increasing with age and dog ownership. Bread most common. Feeding sig associated with provision of water baths and tree planting.","Risks identified: introduced birds likely main consumers of feeding, disease transmission because of poor hygiene practice. Benefits: incrased pleasure, fostering env awawreness and stewardship.",0
88,"SKH",2014,"using citizen science to investigate the role of productivity in house sparrow passer domesticus population trends","Bird Study","research","","europe","England; Scotland; Wales","several","bird","urban","not gradient study","residential garden","","unknown","","information","Measure annual productivity of HOSP with BTO and GBW data across regions and habitats in gardens.","GBW annual productivity was similar between rural and urban gardens but was lower in the S and the E of Britain (1.32 fledglings per adult) where populations are declining, than in N and W where stable. Similar variation with NRS data.","The intensity of effort required to measure breeding success directly through nest monitoring has limited the scale of data collection but GBW data can measure annual productivity across multiple sites. Reduced breeding success likely cause.",0
89,"SKH",2014,"experimental evidence of impacts of an invasive parakeet on foraging behavior of native birds","Behavioral Ecology","research","","europe","England","London","bird","urban","not gradient study","residential garden","","unknown","","information","Experimental testing behavioral responses of native garden birds in repsonse to invasiv rose-ringed parakeet.","Parakeet presence reduced feeding rates and increased vigilance among native birds comapred to woodpecker control. Of visits made by native birds in parakeet presence, feeding was more likely in sites within the parakeet range compared with sites","around it, suggesting habituation. suggest that nonnative species can have complex and subtle impacts on native fauna. show that a nonnative competitor can impact native species simply through their presence",0
90,"SKH",2015,"likeability of garden birds importance of species knowledge & richness in connecting people to nature","Plos One","research","","europe","England","several","bird","urban","not gradient study","residential garden","","unknown","","information","What factors influence the likeability of 14 common garden bird species.","Songibrds preferred over others. Likeability incraesed with feeding. # correctly identified correlated with nature connection felt when watching garden birds.","Species richness preferred over number of individuals. Suggests increasing garden bird diversity good for human well being.",0
91,"SKH",2015,"supplementary feeding restructures urban bird communities","Proceedings of the National Academy of Sciences","research","","australia","New Zealand","Auckland","bird","urban","not gradient study","residential garden","","unknown","","cons_effects;information","Does bird feeding influence bird community structure?","Yes, When feeding, bird community composition shifted significantly with introduced species increasing and small warblers decreasing.","",0
92,"SKH",2015,"is supplementary feeding in gardens a driver of evolutionary change in a migratory bird species?","Global Change Biology","research","","europe","England; Scotland; Wales","several","bird","urban","not gradient study","residential garden","","unknown","","cons_effects;information","Are changes in blackcap migrations due to supplementary feeding in gardens?","Over a 12-year period, we show that blackcaps are becoming increasingly associated with the provision of supplementary foods in British gardens, and this is influencing their winter distribution at a national scale.","",0
93,"SKH",2015,"supplementary feeding of wild birds indirectly affects ground beetle populations in suburban gardens","Urban Ecosystems","research","","europe","England","Reading","bird; invertebrate","urban","not gradient study","residential garden","","unknown","","information","Does bird feeding influence ground beetles?","We trapped significantly fewer ground beetles directly under bird-feeding stations than in matched areas of habitat away from feeders. Video analysis also revealed significantly higher activity by ground-foraging birds","  under the feeding stations than in the control areas. Suggests providing food for wild birds can have indirect negative effects on palatable prey species under typical conditions.",1
94,"SKH",2015,"wild bird feeding in an urban area intensity, economics and numbers of individuals supported","Acta Ornithologica","research","","europe","England","Berkshire","bird","urban","not gradient study","residential garden","","unknown","","information","We sought to characterise garden bird feeding in a large UK urban area in two ways: surveys. Quantitative research.","we obtained the first year-round quantitative records of the amounts and types of wild bird food provided in individual gardens","A median of 127 g, equivalent to 628 kcal, was given daily per household (typically consisting of several food types). We estimated the daily cost of this provisioning level to be UK£0.35 per household",0
95,"SKH",2015,"woody cover does not promote activity of nest predators in residential yards","Landscape and Urban Planning","research","","north america","USA","Franklin County, Ohio","bird; mammal; plant","urban","not gradient study","residential garden","","unknown","","cons_effects;information","Do plants planted to attract songbirds also attract nest predators?","Five common nest predators are not more active where more woody cover is available. Wildlife friendly gardening should not promote use of yards by nest predators.","",0
96,"SKH",2015,"widespread supplementary feeding in domestic gardens explains the return of reintroduced red kites milvus milvus to an urban area","Ibis","research","","europe","England","Reading","bird","urban","not gradient study","residential garden","","unknown","","information","Does feeding by gardeners supplement the recovery of the Red Kite to urban areas?","Yes. Road transects found positive associations between Red Kites and residential areas. provide supplementary food
for Red Kites in their gardens is the primary factor explaining their daytime abundance","Face-to-face surveys of a cross-section of residents revealed that 4.5% (equivalent to 4349 households) provided supplementary food for Red Kites in their gardens.",0
97,"SKH",2016,"movement of feeder-using songbirds the influence of urban features","Scientific Reports","research","","europe","England","Milton, Keynes, Luton, Bedford","bird","urban","not gradient study","residential garden","","unknown","","information","Do urban features within different forms, and season, influence structural (presence absence of connections between feeders by birds) and functional (frequency of these connections) connectivity? How about across forms?","Vegetation cover increased connectivity in all three networks, whereas the presence of road gaps negatively affected functional but not structural connectivity.","Across networks structural connectivity was lowest in the summer when birds maintain breeding territories, but functional connectivity varied with habitat fragmentation.",0
98,"SKH",2016,"'A place for everything': moral landscapes of 'swiftlet farming' in george town, malaysia","Geoforum","research","","asia","Malaysia","George Town","bird","urban","not gradient study","business garden/farm","","food;livestock","","information","to examine the discourses used by key stakeholders to shape debates over the place of non-human animals in cities. explore how the industry has been perceived and contested on an everyday basis","Different stakeholders think different things about swiftlet farming.","",0
99,"SKH",2016,"avian assemblages at bird baths a comparison of urban and rural bird baths in australia","Plos One","research","","australia","Australia","several","bird","urban","gradient study","residential garden","","unknown","bird baths","information","Do bird baths in urban vs. rural residential gardens attract different birds?","Avian assemblages differed between rural vs. urban, aggressive nectar eaters influenced urban assemblages. Small honeyeaters and other small natives occurred less in urban vs. rural.","Suggests differences between rural and urban, bioregion, sig influence the composition of avian assemblages visiting bird baths in private gardens.",0
100,"SKH",2016,"the effect of artificial lighting on the arrival time of birds using garden feeding stations in winter a missed opportunity?","Urban Ecosystems","research","","europe","England; Scotland; Wales","several","bird","urban","not gradient study","residential garden","","unknown","","information","Does artificial light affect foraging of winter garden birds?","Arrival times of the ten most commonly recorded species were associated with a combination of the density of artificial lights, temperature, rainfall and urban land cover","We found no evidence that birds advance the onset of foraging in gardens with more artificial lights nearby; birds generally arrived later into these areas",0
101,"SKH",2016,"urban birds and planting design strategies for incorporating ecological goals into residential landscapes","Urban Ecosystems","research","planning","north america","USA","New York","bird; plant","urban","not gradient study","residential garden","","ornamental","wildlife habitat","information","Design avian-habitat design strategies useful to landscape designers working in residential contexts","Principle one: Vegetative complexity is important for birds; 2) Urban sites can contribute to local ecosystems; 3) Residential landscapes have special conditions","Strategies: a) link sites to overall landscape networks; b) build vegetative structure into projects; c) provide microrefugia; d) optimize
forage resource availability; e) enhance plant diversity",0
102,"SKH",2016,"predation of artificial bird nests in suburban gardens of kwazulu-natal, south africa","Urban Ecosystems","research","","africa","South Africa","Ethekwini, Msunduzi","bird; mammal","urban","not gradient study","residential garden","","unknown","","information","What are nest predator rates and predators in residential urban gardens?","25% nets predation. Velvet monkeys predated 20% of nests, and domestic cats 3%. 79% of predation in winter season, 16% in spring, and 5% in summer (year-round nesting)","",0
103,"SKH",2016,"urban bird feeding connecting people with nature","Plos One","research","","europe","England","Milton Keynes, Luton, Bedford","bird","urban","not gradient study","residential garden","","unknown","","information","We explore three loosely defined motivations behind bird feeding: that it provides psychological benefits, is due to a concern about bird welfare, and/ or is due to a more general orientation towards nature.","Bird feeding yards were less likley to stop putting out food if they could attract the same number of birds with bird-friendly plants.","We found that people who fed birds regularly felt more relaxed and connected to nature when they watched garden birds, and perceived that bird feeding is beneficial for bird welfare while investing time in minimising associated risks",0
104,"SKH",2016,"human residential status and habitat quality affect the likelihood but not the success of lapwing breeding in an urban matrix","Science of the Total Environment","research","","australia","Australia","Phillip Island","bird","urban","not gradient study","residential garden","","unknown","","information","the influence of ecological factors (e.g. extent of grass and food availability) and anthropogenic factors (e.g. human activity and garden usage) on breeding site choice and reproductive success of the ground-nesting masked lapwing","Yards of holiday houses more likely to be chosen for nesting than vacant blocks and permanent residences. They were also more likely to breed on properties with high food availability and larger areas of grass","None of these variables influenced clutch size or the probability of eggs hatching, although larger clutches and higher hatching rates tended to be associated with more food. Human activity avoided by people-tolerant species.",0
105,"SKH",2017,"home range and habitat use of trumpeter hornbills bycanistes bucinator in an urban-forest mosaic, eshowe, south africa","Ostrich","research","","africa","South Africa","Eshowe","bird","urban","not gradient study","residential garden","","unknown","","information","What are the home range size, movement and habitat use in an urban–forest mosaic in Eshowe, South Africa of the hornbill?","We found that all individuals tagged used mostly the indigenous forest and frequently utilised urban residential areas (gardens) with little or no use of cultivated land","",0
106,"SKH",2017,"experimental feeding regime influences urban bird disease dynamics","Journal of Avian Biology","research","","australia","New Zealand","Auckland","bird","urban","not gradient study","residential garden","","unknown","","information","We examined the impacts of typical supplementary feeding practices on the health status of feeder-visiting birds at experimental feeding stations in an urban area of New Zealand.","Feeding stations tested positive for Salmonella enterica Typhimurium on ~7% of occasions, confirming that structures used in feeding are a potential transmission pathway","silvereyes: helminth prevalence and abundance were lower at feeding properties compared to non-feeding; Turdus merula at feeding properties had a higher abundance of helminths. Passer domesticus at feeding properties had a higher abundance of feather lice",0
107,"SKH",2017,"urban bird feeders dominated by a few species and individuals","Frontiers in Ecology and Evolution","research","","australia","New Zealand","Auckland","bird","urban","not gradient study","residential garden","","unknown","","information","What are avian visitation patterns at experimental bird-feeding stations established in the gardens of volunteer households? Are there intraspecific and interspecific asymmetries in feeder use that could be indicative of resource dominance?","Eleven bird species were detected using feeding stations, however, two introduced species (house sparrow Passer domesticus and spotted dove Streptopelia chinensis) dominated visitation events","associations were detected among a number of species, suggesting interspecific interactions are important in determining feeder use. Also high individual variation (most in HOSP). Seasonal differences.",0
108,"SKH",2017,"use of anthropogenic material affects bird nest arthropod community structure influence of urbanisation, and consequences for ectoparasites and fledging success","Journal of Ornithology","research","","europe","England","Reading","bird; invertebrate","urban","gradient study","residential garden","","unknown","","cons_effects","Compared 1nesting materials, 2 ectoparasite load, 3 assemblage of other arthropods and 4 fledging success among two British urban adapter bird species at different levels of urbanisation in and around Reading.","25% Great Tit nest materials were of anthropogenic origin and this was consistent across habitats, while Blue Tits used little (1–2%) anthropogenic material except in gardens (*16%). Nest survival decreased with urbanization.","In fledged nests, an increasing use of anthropogenic material was associated with a lower general arthropod diversity and ectoparasite predator abundance (Blue Tits only), but higher levels of Siphonaptera (fleas)",0
109,"SKH",2017,"\"Brd cages and boiling pots for potential diseases\": contested ecologies of urban 'swiftlet farming' in george town, malaysia","Journal of Political Ecology","research","","asia","Malaysia","George Town","bird","urban","not gradient study","business garden/farm","","food;livestock","","none","I argue that narratives of health and disease continually police which landscape practices are acceptable for the increasingly globalizing and image conscious city. Landscape Political Ecolofy approach.","In so doing, I have emphasized the need for critically evaluating the claims made by competing stakeholders to question how public space should be used, and by whom","After all, what is ultimately at stake in this case is who has the right to the city, which economic activities should be prioritized over others, and on what grounds.",0
110,"SKH",2017,"dispersal of invasive phytolacca americana seeds by birds in an urban garden in china","Integrative Zoology","research","","asia","China","Nanjing","bird; plant","urban","not gradient study","botanical garden","","ornamental","","information","We evaluated the role of bird vectors in the dispersal of pokeweed (Phytolacca americana), a North American herb that is invasive in urban gardens in China","Fruiting P. americana attracted both generalist and specialist bird species that fed on and dispersed its seeds. Pycnonotus sinensis and Urocissa erythrorhyncha were the most frequent dispersers.","Seedling numbers of P. americana were strongly associated with the perching behavior of frugivorous
birds. If newly recruited bird species use seedling-safe perching sites, the P. americana will spread faster.",0
111,"SKH",2018,"introduced grey squirrels subvert supplementary feeding of suburban wild birds","Landscape and Urban Planning","research","","europe","England","Reading","bird; mammal","urban","not gradient study","residential garden","","unknown","","information","a) how Grey Squirrel presence affected the rate and timing of feeder use by garden birds, and whether this interaction was altered b) by the type of food resource provided (peanuts or mixed seed) or c) presence of guard","On average > 44% of the time feeders were utilised, they were being visited by Grey Squirrels. GreySquirrel presence prevented birds from feeding at the same time (> 99.99%).","Feeders where Grey Squirrels weredominant were less likely to be visited by birds, even in their absence. Guards reduced Grey Squirrel use to aminimum on seed feeders, and by approximately half on peanut feeders.",0
112,"SKH",2018,"food preferences by birds using bird-feeders in winter a large-scale experiment","Avian Research","research","","europe","Poland","several","bird","urban","gradient study","residential garden","","unknown","","information","What are the food preferences of garden fed birds in rural and urban areas?","Sunflower seeds were the most preferred food supplement both in urban and rural habitats compared to animal fat, millet, dry fruits.","no significant differences were recorded between urban and rural habitats in use of food.",0
113,"SKH",2018,"predation risk shaped by habitat and landscape complexity in urban environments","Journal of Applied Ecology","research","","europe","Switzerland","Zurich","bird; invertebrate","urban","gradient study","residential garden","","unknown","","information","Does predation risk of exp caterpillars by birds and arthropods increases with heterogeneity in the vertical woody vegetation structure of urban green space patches & do effect strength depend on the amount of woody vegetation cover in landscape?","Local x Landscape were main drivers of predation. Predation risk by birds highest in heterogenous garden habitats, but only in desely built urban landscapes with intermediate (10-20%) cover at 250m and 500m.","Risk predation dropped indepent of garden vegetation in low cover landscapes at small (50-100m) scales. Arthropod predation risk peaked in homogenous garden habitats when amount was intermediate at larger scales.",1
114,"SKH",2018,"bird species observed within a garden at kaikoura, new zealand, 2005-2016","Notornis","research","","australia","New Zealand","Kaikoura","bird","urban","not gradient study","residential garden","","ornamental","","information","What is the weekly bird use of a single yard over the long term (i.e., 15 years?)","Of the 19 species, Eurasian blackbird (Turdus merula merula), house sparrow (Passer domesticus domesticus) and common starling (Sturnus vulgaris vulgaris) were most commonly detected followed by silvereye","Ten species exhibited significant seasonal variation; 4 showed significant increases and 2 decreases over the 11 years of the study.",0
